#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-29T19:33:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60b296d3281370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#-out=B-V
#-out=SpType
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
HIP;Vmag;Plx;B-V;SpType
  9963; 7.14;   2.99; 1.717;M...
  9964; 9.24;   5.32; 0.763;G0
  9965; 7.27;   4.54; 0.033;A0
  9966; 6.98;   5.82; 0.189;A3
  9967;10.01;  17.30; 1.075;K7V:
  9968; 8.52;   7.42; 0.390;F3V
  9969;10.16;   4.45; 0.530;F7/F8V
  9970; 8.98;   4.94; 0.940;G8III
  9972;10.62;  25.58; 0.710;
  9971; 9.96;  18.62; 0.818;G5
  9973; 8.49;   3.09; 0.969;K0
  9974; 7.60;  17.15; 0.616;F5
  9975; 8.32;   1.70; 1.575;M...
  9976; 7.73;   1.22; 1.445;K2
  9977; 4.78;  16.48; 0.120;A5IV-V
  9978; 8.91;   2.34; 0.874;K0
  9979; 9.20;   5.40; 0.904;G5
  9980; 7.85;   4.42; 0.168;B8III
  9981; 6.51;   5.44; 0.879;G5
  9982;10.28;   3.84; 0.580;G0
  9983; 6.38;   7.58; 0.965;G8III
  9984; 9.55;  -1.20; 0.056;B9
  9985; 9.55;  10.79; 0.622;G3/G5V
  9986; 8.69;   6.62; 0.870;G5
  9987; 8.81;  -0.12; 1.216;K1/K2II
  9988; 8.90;   5.34; 0.294;A0m...
  9989;10.94;  24.47; 1.248;
  9990; 5.66;   1.79; 0.595;A1Ia
  9991; 7.71;  13.13; 0.403;F0
  9992; 9.29;   1.34; 0.069;A0
  9993; 8.46;   3.23; 1.403;K3III
  9994; 8.17;   3.82; 0.245;A2
  9995; 8.73;   3.30; 0.278;A2
  9996; 7.89;   1.58; 1.642;M2III
  9997; 7.62;   0.83; 0.333;B6Ia
  9998; 9.67;   3.75; 0.593;G0
  9999; 6.07;   2.51; 1.661;M1III
 10000; 8.81;   3.86; 0.540;A5V
 10001; 9.05;   3.38; 1.083;K0III
 10002; 8.98;   8.11; 0.480;F3V
 10003; 8.45;  -0.93; 1.404;K5
 10004; 7.84;   4.26; 1.140;K1IIICN...
 10005; 9.38;   3.61; 0.507;G0
 10006; 7.64;   4.75; 0.075;A2
 10007; 9.00;  10.61; 0.566;G1V
 10008; 8.28;   5.60; 0.546;F5V
 10009; 8.86;   1.06; 1.111;K0
 10010; 8.02;  12.16; 0.425;F2V
 10011; 9.14;   2.19; 0.228;A
 10012; 9.33;  17.87; 0.746;G8V
 10014; 8.91;   2.06; 0.436;F5
 10013; 8.53;   0.85; 1.706;M0
 10015; 7.02;   2.00; 1.392;K2III
 10016; 9.13;   5.42; 0.473;F2V
 10017; 9.00;   0.35; 1.616;
 10018; 8.82;   6.44; 0.425;F5V
 10019; 9.93;   3.61; 0.342;A7
 10020; 8.60;   4.47; 1.101;K0III
 10021; 8.48;  -0.11; 0.012;B7IV
 10022; 8.28;   6.83; 0.594;F5
 10023; 8.78;   5.52; 0.362;F0...
 10024; 9.00;   1.68; 0.159;O6.5V
 10025; 8.34;   1.34; 1.364;K2
 10026; 8.67;   7.59; 0.441;F3V
 10027; 8.97;   6.60; 0.451;F2V
 10028; 7.16;   3.15;-0.037;B9
 10029; 7.27;   1.84; 1.451;K3III
 10030;10.86;   6.60; 0.676;
 10031; 6.57;  36.57; 0.551;F8
 10032; 8.47;   1.13;      ;B9
 10033; 7.13;  14.68; 0.496;F8
 10035; 5.84;   5.68; 1.197;K1III
 10034; 9.56;   1.22; 0.311;B5
 10036;10.00;   5.29; 0.490;F5
 10037;10.89;  33.44; 1.386;K7
 10038; 7.59;   8.36; 0.478;F5
 10039; 7.77;   1.45; 1.678;M1III
 10040; 9.51;   3.90; 0.847;G6IV/V
 10041;11.25;   3.72; 1.270;Gp
 10042; 8.90;  -0.25; 1.105;K0
 10043; 7.08;   5.99; 1.172;K2III
 10044; 8.80;   1.62; 0.017;A0
 10045; 7.92;   3.54; 0.093;A0
 10046; 9.01;   6.52; 0.361;F0/F2IV/V
 10047; 6.97;  14.54; 0.408;F0
 10048; 8.10;   2.53; 0.976;G5
 10049; 8.98;   2.55; 0.226;A0
 10050; 6.40;  25.47; 0.471;F5V
 10051; 9.69;   1.30; 1.350;K2/K3III:
 10052;10.92;  10.02; 0.685;
 10053; 4.98;  10.19; 0.339;F2III
 10054; 6.05;  14.61; 0.118;A1V
 10055; 8.64;   0.49; 0.128;B1IV:
 10056;11.39;  17.07; 1.310;M0V:
 10057;10.89;  16.85; 1.119;K4.5
 10058; 9.40;   0.88; 0.233;A0
 10059;10.14;   5.11; 0.640;G0
 10060; 8.82;   1.02; 0.310;O9.5Ia
 10061; 8.23;  13.42; 0.695;G3IV
 10062; 8.49;   1.91; 1.217;G5
 10063; 8.01;   8.55; 0.333;F0V
 10064; 3.00;  26.24; 0.140;A5III
 10065; 8.84;  -0.29; 1.605;K7
 10066;10.38;   2.19; 0.450;F8
 10067; 7.38;   8.75; 0.380;F0/F2IV
 10068; 9.65;  -1.15; 0.259;B5
 10069; 6.48;  16.07; 0.289;F0IV/V
 10070; 8.29;   2.14; 1.287;G5
 10071; 9.91;   9.92; 0.731;G6V
 10072;11.78;  50.34; 1.517;
 10073; 9.37;   5.67; 0.470;F3V
 10074; 9.12;   1.67; 0.993;K0
 10075; 8.07;   2.39; 0.968;G8III
 10076; 7.65;   5.65; 1.004;K0III
 10077; 8.31;   1.95; 0.015;A0
 10078; 8.50;  -0.62; 0.440;B0.5:III:
 10080; 7.74;   5.20; 1.003;K0III
 10079; 7.32;  19.49; 0.495;F5
 10081; 8.86;   3.84; 1.223;K0
 10082; 8.06;   8.12; 0.531;G0
 10083; 9.97;   7.73; 0.682;G3/G5V:
 10084; 7.30;   3.87; 1.079;G5
 10085; 7.57;   0.54; 1.465;K2
 10086; 7.74;   2.98;-0.060;B9
 10087; 8.92;   2.19; 1.136;K1III
 10088; 7.81;   2.25; 0.435;A3+...
 10089; 7.42;   2.24; 1.593;K5III
 10090; 8.94;   9.71; 0.766;G8IV+...
 10091; 6.93;  18.24; 0.907;K1III/IV
 10092; 9.71;   4.72; 0.612;G3V
 10093; 8.93;   8.22; 0.628;G1/G2V
 10094; 7.73;   6.33; 0.250;B9
 10095; 7.70;   4.92; 1.031;K0III
 10096; 6.49;  14.68; 0.430;F3V
 10097; 9.92;   4.07; 0.556;G0V
 10098; 8.50;   4.37; 0.508;F8
 10099; 6.79;  11.31; 0.240;A2
 10100; 8.12;   9.79; 0.752;G5IV/V
 10101; 8.19;   2.66; 1.077;G5
 10102;10.11;   4.96; 0.538;F8
 10103; 9.01;   9.69; 0.384;F0
 10104; 8.84;   2.01; 0.019;B9
 10105; 8.40;   3.08; 0.954;G8II/III
 10106;11.02;   2.39; 1.601;K7
 10107;10.40;   8.49; 0.598;G0
 10108; 8.89;   9.05; 0.547;F7V
 10109;10.66;   5.61; 0.604;G5
 10110; 8.51;  11.96; 0.515;F5V
 10111; 6.32;   8.32; 0.899;G8III
 10112; 8.18;   3.33; 1.570;K5
 10113; 8.22;   3.76; 1.396;G5
 10114; 9.70;   0.80; 0.702;G1/G2V
 10115; 6.31;   5.53; 0.948;G8III
 10116; 7.50;  17.80; 0.620;G3IV
 10117; 8.91;  22.27; 0.880;K0V
 10118; 8.52;  17.56; 0.578;G0
 10119; 9.32;   8.91; 0.599;F7w...
 10120; 8.59;   2.96; 1.025;G5
 10121; 9.81;   5.27; 0.459;F3V
 10122; 8.24;   3.95; 1.054;G5
 10123;10.25;  15.68; 0.927;
 10124; 9.73;   4.79; 0.315;A0
 10125; 9.70;  11.34; 0.631;
 10126; 8.04;   3.60; 1.319;K0
 10127; 7.82;   2.17; 1.633;M0III
 10128; 8.85;   6.08; 0.400;F0V
 10129; 9.13;   6.77; 0.102;Am
 10130; 8.05;   5.63; 0.010;B9V
 10131; 8.60;   1.56; 1.209;K1III
 10132;10.00;   5.45; 0.530;F2
 10133; 8.57;   4.51; 0.461;F3V
 10134; 9.35;   7.84; 0.554;F7V
 10135; 9.10;   9.15; 0.680;G2V
 10136; 9.30;   3.87; 1.000;K0
 10137; 6.66;  12.15; 0.335;F0II/III
 10139; 7.37;   6.34; 1.185;K2III
 10138; 6.12;  91.63; 0.812;K0V
 10140; 8.76;  17.66; 0.580;F8V
 10141; 6.66;   9.81; 0.334;F5II
 10142;10.52;   4.53; 0.537;F8
 10143; 8.13;   2.17; 1.660;K0
 10144; 6.84;   5.22; 0.400;A3
 10145; 7.20;   4.15; 0.982;G8III
 10146; 8.31;   1.87; 1.205;K2III
 10147; 9.79;  -1.73; 0.550;Bpe
 10148; 7.83;   5.88; 1.011;K0III
 10149; 8.55;   2.71; 1.050;K0III
 10150; 9.27;   6.66; 0.660;G0
 10151; 9.05;   1.77; 0.612;F7V
 10152; 7.80;   2.99; 1.164;K0III
 10153;11.89;   7.89; 1.257;M0V:
 10154;10.85;   2.35; 0.545;
 10156; 8.02;   0.36; 1.197;G5
 10155; 5.68;   4.90; 1.641;M3III
 10157; 9.62;   3.12; 0.543;F5V
 10158; 8.88;   2.47; 1.143;G5
 10159; 8.17;   4.10; 0.055;A0
 10160; 8.09;   4.81; 0.300;A0
 10161; 7.96;   3.05; 1.371;K2/K3III
 10162; 7.46;   5.30; 0.007;A0
 10163; 8.70;   1.86; 1.326;K2III
 10164; 7.06;  17.76; 1.004;K1III
 10165; 9.94;   1.57; 1.090;G5
 10166; 9.19;   2.96; 1.207;K3III
 10167; 7.42;   8.05; 0.321;A3m...
 10168;12.04;  15.23; 1.224;K7V:
 10169; 8.48;   5.49; 0.361;F5
 10170;10.09;   3.26; 0.514;F7V
 10171; 8.15;   1.88; 1.021;G5
 10172;10.00;   7.16; 0.453;G0
 10173; 9.27;   3.33; 0.405;B5
 10174; 8.86;   0.51; 1.510;K5III
 10175; 7.63;  20.41; 0.704;G5+...
 10176; 6.09;  12.41;-0.054;B9V
 10177; 8.90;   3.52; 1.301;K2III
 10178; 9.39;   7.54; 0.700;G2V
 10179; 6.89;   4.52; 1.208;K2III
 10180; 6.82;   1.92; 0.081;A1Vn
 10181; 7.31;   9.95; 0.398;F0
 10182; 7.65;   6.78; 1.007;K0III
 10183; 8.89;  -1.56; 1.110;K0III
 10184; 9.06;   7.12; 0.510;F5
 10185; 8.19;   6.19; 0.080;A0V
 10186; 8.41;   3.43; 1.015;K0
 10187; 8.56;   3.03; 0.056;A0
 10188; 9.30;   6.53; 0.451;F8
 10189; 8.44;   3.42; 0.994;G8IV
 10190; 8.50;  11.77; 0.577;G1/G2V
 10191;10.15;  48.22; 1.430;K0
 10192; 9.44;   1.45; 1.614;M4e
 10193; 8.89;   0.96; 1.360;K0
 10194; 6.74;   7.68; 0.079;A2IV/V
 10195; 9.76;   3.93; 1.120;G5
 10196; 9.30;   0.99; 1.312;K5
 10197; 8.90;   7.02; 0.436;G5
 10198; 7.22;   2.70; 1.380;K2III
 10199; 8.12;   4.07; 0.334;F0
 10200; 7.24;   2.16; 1.349;K2III
 10201; 8.33;  12.38; 0.431;F5IV
 10202; 9.32;   5.75; 0.373;F2
 10203; 6.01;   4.07; 1.365;K4III
 10204; 8.63;  -0.32; 1.142;K0
 10205; 7.92;   6.44; 0.177;Am
 10206; 7.14;   3.96; 0.986;G8III
 10207; 8.47;   4.52; 0.174;A2
 10208; 9.07;  12.68; 0.424;F8
 10209;11.37;  -1.50;      ;Gp
 10210; 9.07;   2.71; 1.319;K2/K3III
 10211; 8.83;   2.63; 0.174;A0
 10212; 5.64;  23.52; 0.569;G0IV
 10213; 9.47;   2.63; 0.469;F8
 10214; 9.54;   4.97; 0.478;F5V
 10215; 6.00;  20.00; 0.418;F5V
 10216; 8.77;   5.26; 1.263;K2
 10217; 8.21;   2.90; 0.938;K0
 10218; 7.33;  30.76; 0.677;G5V
 10219; 8.68;   4.79; 0.503;F6/F7V
 10220; 6.24;   6.76; 0.112;A1m
 10221; 8.23;   9.27; 0.421;F5
 10222; 8.10;   4.97;-0.056;B8
 10223; 8.94;   6.37; 0.556;K0
 10224; 8.49;   2.90; 1.237;K0
 10225; 8.52;   8.37; 0.528;F6V
 10226; 8.05;   5.36; 0.366;A8:+...
 10227; 6.38;   1.28; 0.298;B5Ia
 10228; 8.19;   0.34; 0.063;O8Vnn
 10229; 9.52;  10.48; 0.642;G3V
 10230; 8.06;   1.47;-0.046;B8
 10231; 8.58;   2.95; 1.302;K3III
 10232; 6.65;   7.12; 0.957;G8III
 10233; 6.51;   4.11; 1.622;M1/M2III
 10234; 5.94;   9.20; 0.967;G9III:
 10235; 9.33;   7.05; 0.503;F6V
 10236; 9.79;   5.48; 0.495;F5V
 10237; 8.77;   7.55; 0.437;F5
 10238; 8.88;   0.97; 1.180;
 10239; 8.53;   7.26; 0.340;F0
 10240; 8.54;   2.99; 1.000;G5
 10241; 9.14;   4.96; 1.086;K1III
 10242; 6.67;   8.58; 0.178;A5
 10243; 8.62;  -0.08; 1.022;B1Ia
 10244; 8.21;   0.82; 1.095;K0
 10245; 9.67;  18.81; 0.890;K1
 10246; 7.74;   6.28; 0.287;A8IV
 10247; 8.91;   3.98; 0.341;A9V
 10248; 9.34;   2.39; 1.255;M6III:
 10249; 8.93;   2.17; 0.334;A9V
 10250; 8.43;   4.87; 0.328;Fm...
 10251;10.36;  -0.47; 1.200;
 10252; 9.40;   6.98; 0.650;G2
 10253; 8.77;   6.71; 0.362;A2
 10254; 6.82;   1.97; 1.400;K2/K3III
 10255; 9.38;  10.84; 0.682;G3V
 10256; 7.10;   5.00; 0.995;G8/K0III
 10257; 8.13;   8.77; 0.418;F5
 10258; 9.70;  20.55; 1.040;K7V:
 10259; 8.75;   7.13; 0.405;F0
 10260; 7.97;   4.41; 0.878;G0
 10261; 8.98;   3.54; 0.500;F8
 10262; 8.34;   4.79; 1.026;K1III
 10263; 7.32;   2.84; 1.371;K2III
 10264; 9.07;   3.03; 0.940;G8/K0V
 10265; 8.79;   2.00; 0.040;B8III
 10266;11.13;   4.54; 1.281;
 10267; 9.94;  11.23; 0.673;DF
 10268; 7.89;   2.79; 1.008;K0III
 10269; 8.63;   1.89; 1.401;K0
 10270;10.75;       ;      ;
 10271; 9.53;   5.11; 0.969;K1III
 10272; 7.71;  30.99; 1.133;K1III-IV
 10273; 6.49;   6.53; 1.039;G5
 10274;10.43;   4.89; 0.543;F8
 10275; 8.45;   3.36; 0.094;A0
 10276; 8.46;  29.52; 0.781;G5
 10277; 8.80;   9.67; 0.605;G1V
 10278; 7.89;  23.02; 0.667;G3/G5V
 10279;10.04;  96.28; 1.431;M3V:
 10280; 4.94;  10.68; 0.770;F5V comp SB
 10281; 7.75;   1.28; 1.537;K2
 10282; 9.21;   3.60; 0.221;A0
 10283; 8.34;   1.26; 1.530;K4/K5III
 10284; 8.08;   7.56; 0.486;F5/F6IV/V
 10285; 7.17;   7.83; 0.311;Am...
 10286; 7.75;   2.00; 1.631;K2
 10287; 8.18;   7.77; 0.606;G0
 10288; 8.25;   9.62; 0.422;F0
 10289; 9.23;   0.81; 0.954;G8III
 10290; 8.11;   3.06; 0.284;A3
 10291; 8.95;   3.77; 1.176;K0/K1III
 10293;10.36;   5.69; 0.597;G0
 10292; 7.92;   6.49; 1.080;K0III
 10294;10.31;   0.40; 0.356;B8
 10295; 9.24;   5.57; 0.903;K0
 10296; 5.96;   5.77; 1.366;K0
 10297; 9.11;   4.71; 0.485;F5V
 10298; 7.30;   3.08; 1.326;K0
 10299; 7.26;   5.20; 1.200;K3III
 10300; 7.12;   4.46; 1.150;K0
 10301; 8.36;  34.97; 0.870;K2V
 10302; 8.90;   6.83; 1.140;K0
 10303; 7.56;   8.04; 0.716;G4
 10304; 7.84;   4.71; 0.318;F0V
 10305; 5.65;  21.71; 0.546;F8V
 10306; 5.23;  33.19; 0.457;F5V
 10307; 9.83;  -3.81; 1.271;K0
 10308; 8.54;   9.56; 0.480;F6V
 10309; 6.46;   7.95; 0.240;A3
 10310; 8.36;  10.19; 0.931;G5
 10311; 8.52;   3.52; 1.035;K0III
 10312;11.10;  39.26; 1.455;
 10313; 9.94;   2.65; 0.563;A2
 10314; 9.80;   0.49; 0.098;A1IV
 10315; 7.01;   3.92; 1.374;K3III
 10316; 8.84;   3.26; 0.376;A0V
 10318; 7.92;   6.12; 1.090;K0
 10317; 7.78;   1.66; 1.748;K5
 10319; 9.14;   3.95; 1.782;K5
 10320; 5.27;   9.82;-0.013;A0V
 10321; 7.19;  38.12; 0.672;G0
 10322; 7.00;  24.38; 0.651;G3V
 10323; 8.08;   1.40; 0.536;B0.5Ib
 10324; 4.36;   9.01; 0.878;G8II:
 10325; 8.68;  11.79; 0.860;K1IV
 10326; 5.86;   8.17; 1.006;K0III
 10327; 8.31;   6.62; 0.299;F0
 10328; 5.72;   6.03; 1.551;M0III
 10329; 9.16;  10.83; 0.535;G0
 10330; 9.13;   2.56; 0.488;K0
 10331; 7.99;   8.11; 0.261;A9IIIm...
 10332;11.42;  23.29;      ;F9
 10333; 9.50;   4.65; 1.285;G5
 10334; 7.81;   2.90; 0.951;K0II
 10335;10.25;  29.71; 1.192;
 10336; 9.76;  -0.37; 1.401;K
 10337; 9.84;  43.00; 1.346;K7V
 10338; 8.05;   0.08; 0.037;A0
 10339; 7.35;  39.10; 0.700;G0
 10340; 4.84;   5.86; 1.476;K4III
 10341; 7.22;   4.17; 0.955;K0III
 10342; 9.15;   1.65; 1.115;K2
 10343; 8.79;   1.55; 1.157;K1III
 10344;10.61;   2.34; 1.296;K2
 10345; 8.40;   1.20; 1.061;G5
 10346; 8.90;  16.27; 0.783;G8V
 10347; 7.41;   1.19; 1.503;M0III
 10348; 7.65;   8.86; 0.365;F0V
 10349; 8.15;   3.16; 0.171;A0
 10350; 6.25;   7.44; 0.915;G8III
 10351; 8.68;  15.01; 0.554;F8IV
 10352; 9.22;   0.56; 0.079;A0V
 10353; 9.22;  12.33; 0.449;G0
 10354; 7.59;   3.07; 1.172;G5II
 10355; 7.37;   9.79; 0.150;A3
 10356; 6.51;  15.02; 0.356;F0
 10357; 7.07;   4.01; 1.335;K2/K3III
 10359; 9.60;   9.17; 0.637;G0
 10358; 9.57;   1.24; 0.309;B9.5V
 10360; 8.56;  12.63; 0.322;F0V
 10361; 6.50;   0.39; 1.661;K5
 10362; 8.50;   5.31; 0.496;F6V
 10363; 9.33;  18.63; 0.789;K0V
 10364; 9.87;   1.57; 0.570;B5
 10365; 8.59;  18.62; 0.775;G5
 10366; 5.31;  16.39; 0.926;G8III:var
 10367; 7.92;   7.27; 0.471;F3V
 10368; 9.77;   4.68; 0.524;F6V
 10369; 8.29;   5.32; 0.531;F5
 10370;11.83;  30.31; 1.456;
 10371; 8.52;   5.60; 0.160;A2
 10372;10.79;   4.65; 0.780;G0
 10373; 8.55;  10.21; 0.735;G5
 10374;10.30;   6.30; 0.633;G0
 10375; 9.11;   9.69; 0.431;F8
 10376;10.60;   5.44; 0.571;F8
 10377; 9.70;   3.78; 0.409;F2
 10378; 7.09;  14.96; 0.468;F7V
 10379; 6.43;   1.13; 0.554;A3Iab
 10380; 8.34;   3.36; 0.979;G8III
 10381;10.20;   0.60;-0.004;B9.5V
 10382; 7.33;   8.34; 0.338;G0
 10383; 8.62;   7.33; 0.642;G0
 10384;11.02;   0.70;      ;
 10385;10.87;  20.25; 1.097;
 10386; 9.50;   4.34; 0.288;A4III
 10387; 9.21;   9.21; 0.492;F5V
 10388; 7.43;   5.81; 0.156;A2
 10389; 9.32;   5.97; 0.407;F5V
 10390; 6.88;   8.66; 1.115;K0
 10391; 8.89;  -0.51;-0.017;B0.5IV
 10392; 8.72;   2.61; 1.274;K1III
 10393; 9.46;   3.93; 0.448;F8
 10394; 8.88;   1.26; 1.075;G5
 10395;10.31;  80.79; 1.479;
 10396; 6.43;   2.59; 1.415;K0
 10397; 8.93;   7.68; 0.463;F8
 10398; 8.62;   5.56; 1.151;K2
 10399; 9.03;   4.53; 0.987;G8/K0III
 10400; 8.85;   3.54; 0.404;A
 10401; 9.12;   1.37; 1.197;K2III
 10402; 7.27;   5.39; 1.168;K1III
 10403; 6.05;  24.07; 0.406;F5V
 10404; 9.55;   5.73; 0.520;G0
 10405; 9.05;   0.52; 1.062;G6/G8III
 10406; 7.91;   5.37; 0.989;K0III
 10407; 9.66;   2.63; 0.989;K0
 10408; 8.89;   1.47; 1.060;G8/K0III
 10409; 8.21;  10.61; 0.461;F6III
 10410; 8.27;   4.10; 1.151;K1/K2III
 10411; 9.19;   5.76; 1.028;K2
 10412;10.85;  16.61; 0.990;K8
 10413; 9.55;  12.24; 0.550;F8IV
 10414;11.53;  16.77; 1.139;K7V:
 10415; 8.16;   6.37; 0.266;A0
 10416; 8.55;  43.73; 1.055;K2
 10417; 7.83;   4.35; 0.933;K0III
 10418; 5.57;   4.41; 1.556;M1III
 10419; 9.16;  12.00; 0.632;G5
 10420; 7.50;   8.17; 1.183;K0
 10421; 9.73;  30.60; 1.278;K5V
 10422; 6.57;   6.05; 0.895;K2III+...
 10423; 7.66;  10.96; 0.480;F5V
 10424; 8.47;   1.72; 1.740;K5
 10425; 7.39;   6.44; 0.384;F0
 10426; 9.04;  10.37; 0.740;G8IV
 10427; 9.41;  -0.96; 1.173;K1/K2III
 10428; 8.61;   3.23; 0.945;G8IIICN...
 10429; 8.97;   6.98; 0.511;F5
 10430; 7.83;   7.66; 0.320;F2
 10431; 9.33;   2.30; 0.809;G5IIIp...
 10432; 8.17;   8.35; 0.306;A3
 10433; 8.08;   6.41; 0.321;F0
 10434; 8.96;  -0.05; 0.031;A2
 10435;10.46;   4.11; 0.585;G0
 10436; 9.95;   1.23; 0.181;B9IV/V
 10437;10.53;   8.07; 0.710;G0
 10438; 6.05;   4.42; 0.641;B9V+...
 10439; 9.10;   1.05; 0.927;G8III
 10440; 5.91;   9.77; 0.965;G9III
 10441; 9.06;   8.11; 0.473;F3V
 10442; 7.11;   4.20; 1.218;K0
 10443; 8.11;  -2.91; 0.038;B1V
 10444; 9.47;   4.86; 0.690;G5
 10445; 7.17;   3.92; 1.032;K0
 10446; 6.35;  16.82; 0.957;K1III
 10447; 8.94;   7.25; 0.422;F5V
 10448; 9.15;   3.32; 0.973;G5
 10449; 9.08;  16.17; 0.582;G1V
 10450; 8.65;   5.54; 0.521;F5
 10451; 9.15;   3.43; 0.349;A
 10453; 7.08;   4.27; 0.010;A0V
 10452; 8.66;   2.81; 0.430;A1IV
 10454; 8.94;  10.48; 0.987;K0
 10455; 8.99;   2.46; 1.078;G8III
 10456; 6.90;   3.32;-0.027;B8
 10457; 8.91;   2.84; 0.922;K0
 10458; 9.85;   6.91; 0.556;F7V
 10459; 7.46;   2.87; 1.236;K1III
 10460; 8.47;  14.77; 0.551;G0
 10461; 9.21;   3.04; 1.129;K0III
 10462; 6.74;   7.30; 1.089;G5
 10463; 7.85;   2.10;-0.026;B2IV-Ve
 10464; 8.85;   1.09; 1.570;M0III
 10465; 8.80;  -0.27; 1.358;K2
 10466; 7.19;  17.75; 0.439;F5
 10467; 8.68;   3.69; 0.370;F2
 10468; 7.92;   9.79; 0.370;F0
 10469; 9.54;   5.78; 0.986;K2III
 10470; 8.87;   1.06; 1.319;K2/K3III
 10471; 8.74;   0.76; 1.111;K0III
 10472; 8.52;   1.45; 2.111;C5II
 10473; 8.53;   2.23; 1.081;G5
 10474; 7.06;  12.86; 0.538;F7V
 10476; 9.53;   7.58; 0.421;F5
 10475; 8.40;   0.93;-0.003;B3IV-V
 10477; 9.13;   3.67; 0.427;F5V
 10478;11.42;   1.82; 1.040;K0
 10479; 6.81;   2.92; 1.391;K0
 10480; 8.22;  15.20; 0.496;F8
 10481; 9.20;   2.22; 1.031;G8III/IV
 10482; 6.76;   5.01; 0.122;A2
 10483; 8.25;  14.98; 0.551;G0V
 10484; 7.80;   5.27; 0.120;A2V
 10485; 8.95;   6.59; 0.830;
 10486; 7.96;   1.00; 0.298;B2III
 10487;10.15;   7.83; 0.594;F8
 10488; 9.07;   7.81; 0.398;F0
 10489; 8.78;   0.77; 2.201;M1Iab
 10490; 8.12;   3.78; 1.182;K2III
 10491;10.96;   2.33; 0.489;F7.5
 10492; 8.07;  23.06; 0.737;G6IV
 10493; 8.26;   3.40; 0.993;K0III
 10494;10.05;   0.12; 1.540;M0
 10495; 7.29;   5.23; 0.970;K0
 10496; 9.03;  12.60; 0.582;G5
 10497; 9.17;   1.93; 0.647;F:...
 10498; 9.20;   2.32; 0.800;G0
 10499; 8.84;   6.76; 0.398;F5
 10501; 9.23;   3.30; 1.050;K0
 10500;11.88;  34.06; 1.470;M2V:
 10502; 9.17;   7.78; 0.645;G2V
 10503; 8.73;   2.50; 0.501;F8
 10504; 8.98;   3.78; 0.330;A2m...
 10505; 6.80;  37.87; 0.690;G8IV
 10506; 7.90;   4.40; 1.015;K0III
 10507; 6.99;   2.51; 1.662;M1/M2III
 10508; 9.37;   1.72; 1.192;K1III
 10509; 7.85;   0.87; 0.113;A0III
 10510; 8.12;  26.89; 0.705;G8V
 10511; 7.98;   6.30; 0.119;A2IV/V
 10512; 6.55;   6.39;-0.005;A0V
 10513; 5.67;   6.97; 1.306;K2III
 10514; 6.96;   2.82; 1.440;K2
 10515; 8.54;   3.29; 1.396;K0
 10516;10.05;   3.83; 0.529;F2
 10517; 8.69;   2.55; 1.180;K0/K1III
 10518; 9.90;  -1.81; 0.340;A5
 10519; 8.36;   5.84; 0.614;G0
 10520; 8.79;   6.18; 0.429;F3/F5V
 10521; 7.98;   3.35; 1.322;K5
 10522; 7.87;   2.17; 1.547;M3/M4III
 10523; 9.98;   7.77; 0.614;G0V
 10524; 9.55;  10.35; 0.610;G2
 10525; 7.91;   2.41; 0.909;G8III
 10526; 9.26;   5.89; 0.300;A5
 10527; 8.31;   2.69; 0.257;B0.5III
 10529; 9.91;  42.46; 0.461;F2
 10528; 8.30;   2.54; 1.068;K0
 10530; 9.77;   2.61; 0.649;G5
 10532; 9.11;  21.72; 0.880;G5
 10531; 7.13;  42.46; 0.920;K2V
 10533; 9.47;   8.01; 0.557;G0
 10535; 5.57;  20.77; 0.520;F6V
 10534; 9.59;   1.45; 0.702;F2
 10536; 7.29;   7.38; 0.508;F6/F7IV
 10537; 7.93;   3.68; 0.983;K0III
 10538; 8.86;   8.91; 0.584;G0V
 10539; 7.86;   1.47; 1.591;K5
 10541; 7.87;   0.63; 0.104;B0III
 10540; 5.79;  24.93; 0.439;F6IV-V
 10542; 7.94;  44.96; 1.033;K3V
